entry_time,exit_time,side,entry_price,exit_price,pnl_pct,net_pnl,result,entry_trigger,exit_trigger,bars_in_trade
2025-11-25 22:45:00+00:00,2025-11-26 04:00:00+00:00,LONG,87642.41,86910.56,-0.835,-733.8500000000058,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,21
2025-11-26 06:00:00+00:00,2025-11-26 09:15:00+00:00,LONG,87652.63,87115.23,-0.613,-539.4000000000087,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,13
2025-11-26 16:00:00+00:00,2025-11-27 12:45:00+00:00,LONG,87564.07,90986.56,3.909,3420.4899999999907,WIN,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,83
2025-11-27 16:45:00+00:00,2025-11-28 00:00:00+00:00,LONG,91467.13,91157.57,-0.338,-311.5599999999977,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,29
2025-11-28 04:30:00+00:00,2025-11-28 07:45:00+00:00,LONG,91455.44,90910.87,-0.595,-546.570000000007,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,13
2025-11-28 08:45:00+00:00,2025-11-28 16:45:00+00:00,LONG,91690.0,90936.23,-0.822,-755.7700000000041,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,32
2025-11-29 13:30:00+00:00,2025-11-29 17:45:00+00:00,LONG,90745.0,90421.21,-0.357,-325.7899999999936,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,17
2025-11-29 20:45:00+00:00,2025-11-30 03:15:00+00:00,LONG,90963.29,90687.23,-0.303,-278.0599999999977,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,26
2025-11-30 03:30:00+00:00,2025-11-30 05:15:00+00:00,LONG,90903.49,90682.9,-0.243,-222.59000000001106,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,7
2025-11-30 06:30:00+00:00,2025-11-30 19:15:00+00:00,LONG,90920.0,91346.67,0.469,424.66999999999825,WIN,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,51
2025-11-30 19:30:00+00:00,2025-11-30 20:15:00+00:00,LONG,91449.89,91313.35,-0.149,-138.5399999999936,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,3
2025-12-01 21:15:00+00:00,2025-12-02 09:00:00+00:00,LONG,86170.19,86655.67,0.563,483.4799999999959,WIN,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,47
2025-12-02 09:15:00+00:00,2025-12-02 09:30:00+00:00,LONG,86872.76,86657.69,-0.248,-217.06999999999243,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,1
2025-12-02 10:00:00+00:00,2025-12-03 12:15:00+00:00,LONG,86906.51,92730.7,6.702,5822.190000000002,WIN,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,105
2025-12-03 13:15:00+00:00,2025-12-03 14:00:00+00:00,LONG,93015.53,92030.58,-1.059,-986.9499999999971,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,3
2025-12-03 18:00:00+00:00,2025-12-04 05:30:00+00:00,LONG,93421.05,92976.49,-0.476,-446.5599999999977,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,46
2025-12-04 09:30:00+00:00,2025-12-04 11:15:00+00:00,LONG,93476.71,93006.71,-0.503,-472.0,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,7
2025-12-05 01:15:00+00:00,2025-12-05 04:15:00+00:00,LONG,92514.23,92190.16,-0.35,-326.06999999999243,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,12
2025-12-06 03:15:00+00:00,2025-12-06 08:30:00+00:00,LONG,89555.47,89394.16,-0.18,-163.30999999999767,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,21
2025-12-06 09:45:00+00:00,2025-12-06 11:00:00+00:00,LONG,89574.12,89500.0,-0.083,-76.11999999999534,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,5
2025-12-06 11:15:00+00:00,2025-12-06 19:00:00+00:00,LONG,89579.25,89487.2,-0.103,-94.05000000000291,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,31
2025-12-07 02:45:00+00:00,2025-12-07 07:30:00+00:00,LONG,89621.96,89256.14,-0.408,-367.820000000007,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,19
2025-12-07 16:30:00+00:00,2025-12-07 22:30:00+00:00,LONG,89465.37,90075.48,0.682,608.1100000000006,WIN,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,24
2025-12-08 01:15:00+00:00,2025-12-08 14:00:00+00:00,LONG,91142.58,91560.26,0.458,415.679999999993,WIN,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,51
2025-12-08 21:30:00+00:00,2025-12-09 00:45:00+00:00,LONG,91158.16,90396.73,-0.835,-763.4300000000076,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,13
2025-12-09 08:00:00+00:00,2025-12-09 10:15:00+00:00,LONG,90500.0,90192.36,-0.34,-309.6399999999994,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,9
2025-12-09 11:45:00+00:00,2025-12-09 23:45:00+00:00,LONG,90384.55,92678.8,2.538,2292.25,WIN,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,48
2025-12-10 06:30:00+00:00,2025-12-10 10:30:00+00:00,LONG,92687.82,92225.02,-0.499,-464.8000000000029,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,16
2025-12-10 17:30:00+00:00,2025-12-10 22:45:00+00:00,LONG,92435.47,92509.94,0.081,72.47000000000116,WIN,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,21
2025-12-11 18:30:00+00:00,2025-12-12 09:30:00+00:00,LONG,91169.65,92178.82,1.107,1007.1700000000128,WIN,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,60
2025-12-12 09:45:00+00:00,2025-12-12 12:15:00+00:00,LONG,92520.56,92182.65,-0.365,-339.9100000000035,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,10
2025-12-13 07:15:00+00:00,2025-12-13 12:30:00+00:00,LONG,90381.94,90295.0,-0.096,-88.94000000000233,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,21
2025-12-13 23:30:00+00:00,2025-12-14 05:00:00+00:00,LONG,90233.68,90156.55,-0.085,-79.1299999999901,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,22
2025-12-15 01:45:00+00:00,2025-12-15 13:15:00+00:00,LONG,89242.32,89449.39,0.232,205.06999999999243,WIN,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,46
